Restaurant Name,Address,Url,Restaurant Website,Latitude,Longitude,Details,Deals Offered,Deal Website,Open Table Link,Rating,Review Count,Price,Categories
1225 Raw Sushi and Sake Lounge,"1225 Sansom St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#1225-raw-sushi-and-sake-lounge,https://1225rawnledas.com,39.94977844897959,-75.16082181632653,Participating in dinner only. Offering indoor and outdoor dining. Closed Monday.,$45 DINNER,https://centercityphila.org/uploads/attachments/clly71s7mbf9jwnqdars7fk7y-raw1225.pdf,,3.5,582,$$,"['Japanese', 'Sushi Bars', 'Korean']"
Aki Nom Nom,"1210 Walnut St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#aki-nom-nom,http://akisushi.com,39.9487415,-75.16115765518246,Participating in lunch and dinner. Offering indoor dining.,Coming soon,,,3.5,630,$$,"['Sushi Bars', 'Ramen']"
Alice Pizza,"235 S 15th Street, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#alice-pizza,http://www.alicephilly.com,39.9481842,-75.16605169537605,"Participating in lunch, dinner and takeout. Offering indoor dining.",$45 DINNER,https://centercityphila.org/uploads/attachments/clksc8v1pacvf0vqd4bn1k9ue-alice.pdf,,4.5,311,$$,"['Pizza', 'Italian', 'Gelato']"
Amada,"217-219 Chestnut St, Philadelphia, PA 19106",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#amada,http://www.amadarestaurant.com,39.9485657,-75.1448374,Participating in dinner only. Offering indoor dining.,$45 DINNER,https://centercityphila.org/uploads/attachments/clluwrm2pbalcjnqd3va3v0dl-amada.pdf,https://www.opentable.com/restaurant/profile/5129/reserve?ref=939,4.0,2259,$$,"['Tapas Bars', 'Spanish', 'Iberian']"
Amina,"104 Chestnut St, Philadelphia, PA 19106",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#amina,http://aminaphilly.com,39.948127,-75.14276525,"Participating in lunch, dinner, and takeout. Offering indoor dining. Closed on Mondays. Not participating on Saturday, September 16 and Saturday, September 23.",$45 DINNER,https://centercityphila.org/uploads/attachments/clkwusrusa39rjnqdaqm003vc-amina.pdf,https://www.opentable.com/restaurant/profile/1239313/reserve?ref=9169,4.0,131,,['Southern']
Ancient Spirits & Grille,"1726 Chestnut St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#ancient-spirits-grille,https://asgphilly.com,39.9515042,-75.1698515,"Participating in lunch, dinner and takeout. Offering indoor and outdoor dining. ",$45 DINNER | $20 LUNCH | COCKTAILS,https://centercityphila.org/uploads/attachments/clkjrtuzr9mfdm8qd9woymj2v-ancientdinner.pdf,https://www.opentable.com/restaurant/profile/1177882/reserve?ref=9169,3.5,73,$$,"['Lounges', 'Cocktail Bars', 'Modern European']"
Bahn Mi and Bottles,"712-14 South St, Philadelphia, PA 19147",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#bahn-mi-and-bottles,https://www.banhmiandbottles.com,39.9420217,-75.1523396,Participating in dinner only. Offering indoor dining.,$60 DINNER,https://centercityphila.org/uploads/attachments/clm0u8wzibpvqhnqds517lu33-banhmi2.pdf,,4.0,294,$$,"['Vietnamese', 'Beer, Wine & Spirits', 'Cocktail Bars']"
Bank and Bourbon,"1200 Market St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#bank-and-bourbon,http://bankandbourbon.com,39.9515897,-75.160309,Participating in lunch and dinner. Offering indoor dining.,$45 DINNER | $20 LUNCH,https://centercityphila.org/uploads/attachments/cllgspi5hasp4m8qd12vpri4h-bank-bourbondinner.pdf,,3.5,432,$$$,"['American (New)', 'Gastropubs']"
Barbuzzo,"110 S 13th St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#barbuzzo,http://www.barbuzzo.com,39.9500257,-75.1620492,,$45 DINNER,https://centercityphila.org/uploads/attachments/clle1p8a8anenomqd0zww53ap-barbuzzo.pdf,https://www.opentable.com/restaurant/profile/47290/reserve?ref=9169,4.5,3193,$$,"['Mediterranean', 'Pizza', 'Italian']"
Bellini,"220 S 16th St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#bellini,https://belliniphiladelphia.com,39.94909595,-75.16787067802703,Participating in dinner and takeout. Offering indoor and outdoor dining.,$45 DINNER,https://centercityphila.org/uploads/attachments/cllbbv3g2aqmghnqdihnra36o-bellini.pdf,https://www.opentable.com/restaurant/profile/17053/reserve?ref=9169,3.0,370,$$,"['Italian', 'Cocktail Bars', 'Wine Bars']"
Bistro La Baia,"1700 Lombard St, Philadelphia, PA 19146",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#bistro-la-baia,https://www.bistrolabaia.com,39.945205,-75.17028,"Participating in lunch, dinner and takeout. Offering indoor and outdoor dining. BYOB.",$45 DINNER | $20 LUNCH,https://centercityphila.org/uploads/attachments/clkcv5g3s9es2saqdbqwggo6j-bistrolabaiadinner.pdf,https://www.opentable.com/restaurant/profile/116446/reserve?ref=9169,3.5,245,,['Italian']
Bistro Romano,"120 Lombard St, Philadelphia, PA 19147",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#bistro-romano,http://www.bistroromano.com,39.94190354028374,-75.14426640234197,Participating in dinner and takeout. Offering indoor and outdoor dining.,$45 DINNER,https://centercityphila.org/uploads/attachments/clksc9wckacvi0vqdn5waxgaf-bistroromano.pdf,https://www.opentable.com/restaurant/profile/1638/reserve?ref=9169,4.0,605,$$,"['Italian', 'Wine Bars']"
Bistrot La Minette,"623 S 6th St, Philadelphia, PA 19147",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#bistrot-la-minette,http://www.bistrotlaminette.com,39.94142580952381,-75.15236566666667,Participating in dinner only. Offering indoor and outdoor dining. Closed Sundays and Mondays.,$45 DINNER,https://centercityphila.org/uploads/attachments/clkr10b7sab5d0vqduolc3nbm-bistrotlaminettedinner.pdf,https://www.opentable.com/restaurant/profile/26455/reserve?ref=9169,4.5,659,$$$,"['French', 'Breakfast & Brunch']"
Bleu Sushi,"262 S 10th St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#bleu-sushi,http://bleusushiphilly.com,39.9464973,-75.15798321680501,"Participating in lunch, dinner and takeout. Offering indoor and outdoor dining. BYOB.",Coming Soon,,https://www.opentable.com/restaurant/profile/148756/reserve?ref=9169,4.5,1083,$$,"['Sushi Bars', 'Japanese', 'Asian Fusion']"
Blume Food & Cocktail,"1500 Locust Street, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#blume-food-cocktail,http://blumephilly.com,39.94824265,-75.16654758167297,Participating in dinner only. Offering indoor and outdoor dining.,Coming soon.,,,2.5,201,$$,"['Bars', 'Breakfast & Brunch', 'Burgers']"
